zero crossings,amplitude,duration,envelope symmetry,event,start,end,species,height,recording
1.0,0.3754,0.19,0.46735,bite,29.314044,29.931451000000003,alfalfa,tall,recording_03
1.0,0.055246,0.02,0.50879,chew,30.501021,31.421021000000003,alfalfa,tall,recording_03
1.0,0.075748,0.1,0.49453,chew,31.545851000000003,32.305851000000004,alfalfa,tall,recording_03
1.0,0.096574,0.13,0.47051,chew,32.475456,33.165219,alfalfa,tall,recording_03
0.0,0.085872,0.0,0.60413,chew,34.715014000000004,35.355014000000004,alfalfa,tall,recording_03
1.0,0.08904,0.14,0.57399,chew,35.457994,36.137994,alfalfa,tall,recording_03
1.0,0.15977,0.15,0.37226,chew,36.200973,36.920973,alfalfa,tall,recording_03
1.0,0.10002,0.14,0.46533,chew,36.98946,37.86946,alfalfa,tall,recording_03
0.0,0.065281,0.0,0.38404,chew,37.940611,38.620611,alfalfa,tall,recording_03
1.0,0.089903,0.11,0.42942,chew,38.68815,39.44815,alfalfa,tall,recording_03
1.0,0.083989,0.12,0.46997,chew,39.515689,40.275689,alfalfa,tall,recording_03
1.0,0.070221,0.09,0.51643,chew,40.341421999999994,41.141422,alfalfa,tall,recording_03
1.0,0.10152,0.16,0.44873,chew,41.212573,41.892573,alfalfa,tall,recording_03
1.0,0.12052,0.11,0.47537,chew,41.961918,42.681917999999996,alfalfa,tall,recording_03
1.0,0.11609,0.14,0.37119,chew,42.743091,43.503091,alfalfa,tall,recording_03
0.0,0.057279,0.0,0.5806,chew,43.594287,44.394287,alfalfa,tall,recording_03
1.0,0.19428,0.19,0.46171,chew,44.741915999999996,45.501915999999994,alfalfa,tall,recording_03
0.0,0.056018,0.0,0.54757,chew,45.569455,46.329454999999996,alfalfa,tall,recording_03
1.0,0.091974,0.14,0.52111,chew,46.424263,47.144263,alfalfa,tall,recording_03
0.0,0.060933,0.0,0.40112,chew,47.230899,47.990899,alfalfa,tall,recording_03
1.0,0.078939,0.07,0.58409,chew,48.069364,48.869364000000004,alfalfa,tall,recording_03
1.0,0.07893,0.07,0.42592,chew,48.994194,49.754194,alfalfa,tall,recording_03
1.0,0.11089,0.07,0.45864,chew,49.817173,50.537172999999996,alfalfa,tall,recording_03
0.0,0.034458,0.0,0.41672,chew,50.606518,51.326518,alfalfa,tall,recording_03
0.0,0.028537,0.0,0.53051,chew,51.385886,52.185885999999996,alfalfa,tall,recording_03
0.0,0.16532,0.0,0.35614,chew,52.469857999999995,53.22985799999999,alfalfa,tall,recording_03
0.0,0.030082,0.0,0.59566,chew,53.371031,54.05103100000001,alfalfa,tall,recording_03
0.0,0.084384,0.0,0.65371,chew,54.117622,54.757622,alfalfa,tall,recording_03
0.0,0.026926,0.0,0.50858,chew,54.810624,55.610624,alfalfa,tall,recording_03
0.0,0.070759,0.0,0.50165,chew,55.653422,56.361775,alfalfa,tall,recording_03
0.0,0.031595,0.0,0.54369,chew,56.508186,57.176582999999994,alfalfa,tall,recording_03
